baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
BTC3L,USDT,0.1074,40.0,0.1073,4930.1124,0.1074,1617905315967.0,20.0,2022-03-12 00:29:51.577
BTC3S,USDT,1.0987,403.8508,1.0976,0.1031,1.0977,1617880955000.0,0.2499,2022-03-10 19:27:00.678
BTT,USDT,1.778e-06,284888975.8813,1.776e-06,1371262214.3423,1.777e-06,1643128878171.0,146380538.4777,2022-03-12 00:27:41.142
BULL,USDT,0.122624,836.56242581,0.122014,925.7255,0.122624,1646794810769.0,153.08493443,2022-03-10 19:24:53.142
BURGER,USDT,1.4425,276.0,1.4335,229.0,1.4288,1637743001016.0,31.027,2022-03-11 23:32:00.945
C98,USDT,1.241,589.696,1.238,566.2237,1.2363,1633060104312.0,23.2559,2022-03-11 23:32:00.956
CAKE,USDT,6.096,68.1612,6.093,3.0333,6.096,1645515477268.0,0.0183,2022-03-10 19:27:00.664
CARD,USDT,0.00399,3493.3518,0.00397,1597.6939,0.00397,1620352107244.0,240.4375,2022-03-10 19:28:05.432
CARR,BTC,1.387e-07,22421.7902,1.341e-07,85014.9476,1.355e-07,1619206534242.0,247.5615,2022-03-11 23:33:04.232
CAS,USDT,0.01094,468.669,0.01088,584.5678,0.01089,1612733577752.0,112.0651,2022-03-10 19:29:09.126
CAS,BTC,2.81e-07,7663.3236,2.73e-07,15234.8341,2.76e-07,1612727445550.0,469.9637,2022-03-10 19:30:14.429
CELO,BTC,6.642e-05,184.8706,6.621e-05,1.6512,6.64e-05,1620855206533.0,0.1092,2022-03-12 00:30:58.432
CELO,USDT,2.6668,81.0,2.6652,10.7164,2.6657,1620992422940.0,0.1698,2022-03-10 19:30:14.433
CERE,USDT,0.02339,1924.0,0.02328,1992.3103,0.0233,1636476891874.0,235.469,2022-03-12 00:27:41.145
CFG,USDT,0.4948,676.09754953,0.4909,1.2431,0.4948,1629121636128.0,2.01940177,2022-03-12 00:28:45.796
CHR,USDT,0.372988,3121.6789,0.37264,600.0,0.372896,1613387623883.0,2.2585,2022-03-10 19:29:09.123
CHSB,ETH,0.0001684,166.6024,0.0001672,147.6247,0.000167,1612777359863.0,2.7916,2022-03-12 00:04:01.163
CHZ,BTC,4.9822e-06,19.3464,4.9697e-06,3.0368,4.9823e-06,1613096490139.0,1.3093,2022-03-12 00:26:36.356
CHZ,USDT,0.19457,0.1998,0.19441,878.0,0.19439,1616571911464.0,124.0,2022-03-12 00:29:51.566
CIRUS,USDT,0.23497,78.0,0.2339,78.0,0.23432,1638411728160.0,86.0,2022-03-12 00:32:07.426
CIRUS,ETH,8.78e-05,18.9968,8.652e-05,668.395,8.665e-05,1638865936819.0,78.0,2022-03-10 19:30:14.437
CKB,USDT,0.01049,35440.092,0.010482,9588.7261,0.010482,1612834738821.0,10.9092,2022-03-12 00:30:58.406
CKB,BTC,2.69e-07,204.5821,2.675e-07,25560.502,2.69e-07,1612757490871.0,38.9358,2022-03-12 00:28:45.805
COMB,USDT,0.001386,354233.085,0.001379,6289.4355,0.001382,1612741730484.0,247467.4385,2022-03-12 00:32:07.405
COMP,USDT,103.36,1.6908,103.2,7.978,103.49,1613339022300.0,0.001,2022-03-12 00:27:41.155
COTI,USDT,0.197886,2450.0,0.19776,2450.0,0.197468,1613119313562.0,2500.0,2022-03-10 19:25:56.932
COV,USDT,0.3112,5557.83956942,0.3092,16.1707,0.3092,1637087879261.0,3.3133,2022-03-11 23:33:04.245
COV,BTC,7.26e-06,91.3428,7.21e-06,4.0,7.24e-06,1612771495250.0,4865.2,2022-03-10 19:24:53.156
CPC,ETH,2.111e-06,6627.8043,2.082e-06,121.2106,2.102e-06,1612758044744.0,55416.1211,2022-03-12 00:29:51.556
CPOOL,USDT,0.1721,203.54233947,0.1717,159.0,0.1717,1635425290520.0,3750.7183,2022-03-12 00:26:36.357
CREDI,USDT,0.01454,14183.6754,0.01446,13661.5507,0.01446,1639027620660.0,7.9937,2022-03-10 19:30:14.436
CRO,BTC,9.96e-06,771.6778,9.94e-06,4178.2958,9.94e-06,1614785055684.0,1.0295,2022-03-12 00:32:07.426
CRPT,ETH,5.456e-05,19.4183,5.438e-05,7.9448,5.45e-05,1612802106201.0,7.9448,2022-03-12 00:28:45.796
CRV,USDT,2.033,878.1397,2.032,0.5832,2.033,1613250268641.0,0.054,2022-03-12 00:27:41.136
CTC,USDT,1.128,1792.0708,1.126,701.3953,1.128,1642051919987.0,0.2148,2022-03-11 23:33:04.236
CTC,BTC,2.907e-05,81.9399,2.896e-05,421.2,2.899e-05,1642048817677.0,143.3606,2022-03-10 19:24:53.136
CTI,ETH,9.63e-06,1107.4,9.48e-06,2996.0,9.6e-06,1612826235133.0,584.4573,2022-03-12 00:28:45.805
CTI,USDT,0.02489,125001.58253162,0.02485,504.4211,0.02488,1612757480351.0,1288.1531,2022-03-12 00:28:45.805
CTSI,USDT,0.2994,367.0,0.2992,1230.0247,0.2995,1632451098514.0,1188.1848,2022-03-12 00:27:41.156
CUDOS,BTC,5.205e-07,4943.7725,5.155e-07,4944.7656,5.187e-07,1632815907386.0,47.6451,2022-03-12 00:26:36.355
CV,BTC,6.6e-09,319673.82,6.5e-09,6939132.0,6.5e-09,1612712733319.0,209.62,2022-03-12 00:04:01.164
CVX,USDT,16.1671,12.9,16.1428,2.527,16.1428,1643722592184.0,1.3104,2022-03-12 00:04:01.143
CWAR,BTC,6.08e-06,1000.0,5.99e-06,1000.0,6.01e-06,1636719632287.0,6.5123,2022-03-10 19:28:05.445
DAG,BTC,3.7936e-06,2835.2972,3.7655e-06,49505.4108,3.7592e-06,1613099964623.0,202.3907,2022-03-11 23:32:00.956
DAG,ETH,5.802e-05,2.8558,5.788e-05,29.0193,5.802e-05,1613018334758.0,26.0932,2022-03-12 00:29:51.556
DAG,USDT,0.150355,1300.0,0.149983,5.1563,0.150041,1613051253714.0,613.3274,2022-03-12 00:28:45.800
DAO,USDT,2.29745,5.2231,2.28882,20.5,2.28784,1645521182009.0,3.175,2022-03-11 23:32:00.958
DAPPX,USDT,0.01089,33.4189,0.0108,42.812,0.01086,1621661876340.0,10935.3,2022-03-10 19:28:05.423
DASH,USDT,96.75,5.3714,96.66,5.514,96.7,1613796871096.0,1.0104,2022-03-12 00:27:41.155
DASH,ETH,0.0398,12.60811379,0.03972,9.53671975,0.03983,1613405994821.0,0.0398,2022-03-10 19:24:53.135
DCR,ETH,0.0206329,1.5661,0.020568,8.6033,0.0205579,1612917914465.0,0.481,2022-03-12 00:29:51.556
DCR,BTC,0.00138433,0.0109,0.00137221,1.4701,0.00137765,1612824655205.0,1.0,2022-03-10 19:25:56.956
DERO,BTC,0.00031487,0.6664,0.0003133,0.4048,0.00031487,1612856963091.0,0.17,2022-03-10 19:29:09.122
DERO,USDT,12.43632,1.6317,12.34901,18.0131,12.43599,1612960934515.0,2.25018882,2022-03-10 19:28:05.436
DFI,BTC,8.977e-05,0.03,8.957e-05,230.6,8.971e-05,1612785004822.0,3.2767,2022-03-10 19:24:53.044
DFYN,USDT,0.0915,16168.4149,0.0913,4975.594,0.0915,1629133405920.0,162.17,2022-03-10 19:29:09.097
DGB,ETH,7.7e-06,20000.0,7.6e-06,163330.0417,7.6e-06,1613018374600.0,1872.2838,2022-03-10 19:30:14.435
DGB,USDT,0.019393,8843.4892,0.019371,30596.5656,0.019379,1613014849228.0,37.0102,2022-03-11 23:32:00.955
DGB,BTC,5.1e-07,2288.0098,5e-07,1198575.3053,5e-07,1612963608496.0,2.4642,2022-03-10 19:24:53.135
DGTX,ETH,1.77e-07,68327.8889,1.74e-07,69505.9559,1.75e-07,1612715007880.0,310129.3736,2022-03-12 00:26:36.354
DIA,BTC,2.298e-05,92.6248,2.276e-05,82.0,2.296e-05,1612771414425.0,0.1338,2022-03-10 19:27:00.705
DINO,USDT,0.0311,627.1830074,0.0309,402.2669,0.0311,1632420869568.0,39.7,2022-03-12 00:04:01.156
DODO,USDT,0.3865,788.8553,0.3863,3074.3097,0.3863,1617902557833.0,0.4994,2022-03-10 19:24:53.078
DOGE,KCS,0.006425,1063.2038,0.006414,6607.8236,0.006432,1615742640832.0,26.77,2022-03-12 00:26:36.362
DOGE,USDC,0.11697,3590.2334,0.11676,12882.4434,0.11695,1645517035875.0,50.0,2022-03-12 00:29:51.558
DOGE,USDT,0.11694,39551.0759,0.1169,9260.2795,0.1169,1645647532754.0,1.0,2022-03-12 00:26:36.359
DOGE,BTC,2.99e-06,8022.0674,2.985e-06,8651.6594,2.983e-06,1645632294499.0,0.0001,2022-03-12 00:26:36.394
DOGE3L,USDT,0.077295,218.7703,0.0771,49175.5394,0.0764,1631603556933.0,52626.6419,2022-03-12 00:29:51.554
DOGE3S,USDT,5.9901,8.4277,5.9728,4.2466,5.9666,1631632837695.0,8.4277,2022-03-12 00:04:01.154
DORA,BTC,0.00013007,6.184,0.00012487,1278.6972,0.00013007,1629145328955.0,0.0127,2022-03-11 23:32:00.956
DOT,BTC,0.000431,7.02,0.00043067,7.02,0.00043017,1645551424547.0,42.7086,2022-03-10 19:24:53.107
DOT,UST,18.3177,22.8437,18.274,8.5565,18.2952,1613332411128.0,3.3009,2022-03-12 00:32:07.426
DOT,USDT,18.3821,29.7623,18.3801,8.7066,18.3809,1618386154518.0,29.0,2022-03-12 00:32:07.416
DOT,KCS,0.934,4.4122,0.9321,2.3102,0.9343,1615293287385.0,0.148,2022-03-10 19:25:56.962
DOT3L,USDT,0.1826,799.5055,0.1815,156.4945,0.1815,1632361832873.0,10.5055,2022-03-12 00:26:36.356
DSLA,USDT,0.00244,132200.0479,0.00243,2036.9031,0.00244,1617164777230.0,14118.2887,2022-03-10 19:27:00.677
DYDX,USDT,4.682,103.7353,4.678,52.0,4.687,1632005556366.0,0.0343,2022-03-12 00:32:07.402
DYP,ETH,5.8e-05,20228.9368,5.7e-05,3773.801,5.7e-05,1616723365271.0,147.8804,2022-03-12 00:04:01.177
EGLD,USDT,140.77,18.5584,140.66,2.7028,140.67,1631842815700.0,0.8865,2022-03-12 00:04:01.158
EGLD,BTC,0.003628,0.8046,0.003621,3.3874,0.003625,1631707893915.0,0.0253,2022-03-12 00:29:51.556
ELA,USDT,3.1239,246.58261563,3.12,93.2135,3.12,1621001426696.0,9.7,2022-03-12 00:30:58.432
ELA,ETH,0.0011973,4.1617,0.0011842,0.9494,0.0011732,1612847493991.0,0.0311,2022-03-11 23:32:00.935
ENJ,USDT,1.3337,506.8259,1.3329,284.6567,1.3337,1616774711526.0,0.1505,2022-03-10 19:27:00.682
ENS,USDT,14.026,32.2095,14.011,15.0,14.026,1636683487893.0,0.0313,2022-03-10 19:25:56.946
EOS,KCS,0.1091,1.2025,0.1089,129.1675,0.1089,1613384315519.0,1.0701,2022-03-12 00:30:58.426
EOS,ETH,0.000759,232.1982,0.000758,704.5046,0.000759,1613563578363.0,0.0282,2022-03-10 19:28:05.426
EOS,USDT,1.9866,10.0,1.9864,0.4042,1.9862,1615842332916.0,0.6725,2022-03-12 00:30:58.428
EOS,USDC,1.9805,4.0575,1.98,759.5963,1.9795,1614057915852.0,5.0103,2022-03-12 00:04:01.178
EOS3L,USDT,0.006802,28031.24027072,0.006757,4760.0134,0.006763,1622185014743.0,761.6735,2022-03-11 23:33:04.226
EOS3S,USDT,4.407,38.1455,4.3752,8.6361,4.4081,1622151040626.0,2.2686,2022-03-12 00:23:05.526
EPIK,USDT,0.0532,145.18127144,0.0531,440.7218,0.0532,1638544559540.0,131.0,2022-03-11 23:32:00.936
EPS,USDT,0.1647,3139.4488,0.1639,2013.4086,0.1639,1636043222285.0,2.4098,2022-03-10 19:25:56.945
EQX,USDT,0.0723,3956.3372,0.0718,251.2927,0.0719,1631266134923.0,109.358,2022-03-10 19:28:05.427
EQZ,BTC,2.66e-06,36.567,2.65e-06,7.2159,2.66e-06,1619115583325.0,0.4349,2022-03-10 19:28:05.432
ERG,BTC,8.02e-05,50.0,7.99e-05,5.8298,8.05e-05,1628180996902.0,0.1548,2022-03-11 23:33:04.235
ERG,USDT,3.1287,276.48553235,3.1253,25.0,3.1287,1628225665322.0,58.5154,2022-03-12 00:26:36.364
ERN,USDT,4.567,0.0248,4.55,4.0854,4.55,1636448973227.0,0.1046,2022-03-12 00:04:01.145
ETC,USDT,26.6324,1.3e-05,26.6246,32.39016,26.6324,1614490141503.0,0.118654,2022-03-12 00:30:58.429
ETC,ETH,0.010214,20.654963,0.010205,0.031315,0.010213,1613395924134.0,0.724615,2022-03-10 19:29:09.126
ETC,BTC,0.0006869,14.558532,0.0006853,36.197938,0.0006845,1613298545955.0,0.11681,2022-03-11 23:33:04.234
ETH,USDT,2589.84,9.91714889,2589.83,1.8846382,2589.84,1625157100049.0,3.861e-05,2022-03-12 00:29:51.545
ETH,PAX,2592.5,0.1622487,2585.67,0.1623143,2586.37,1613247332152.0,9.4e-06,2022-03-12 00:27:41.135
ETH,UST,2580.99,0.162156,2576.28,0.376,2581.32,1613712572085.0,0.01716439,2022-03-12 00:32:07.405
ETH,DAI,2591.97,0.1772853,2582.01,0.1775777,2591.78,1613195210035.0,0.22376744,2022-03-11 23:33:04.235
ETH,BTC,0.066204,3.5922999,0.066185,0.6223,0.066209,1615437886292.0,0.0002106,2022-03-12 00:26:36.343
ETH,USDC,2589.18,1.0085312,2587.68,2.3522223,2590.44,1614443151952.0,0.00038603,2022-03-12 00:27:41.142
ETH2,ETH,0.9227,0.3493,0.92,3.43438314,0.92,1612714946662.0,0.037,2022-03-12 00:32:07.405
ETH3L,USDT,0.1882,6863.9551,0.188,727.8456,0.188,1618233650424.0,555.2175,2022-03-10 19:24:53.081
ETH3S,USDT,0.012879,199.294,0.012847,275531.607,0.012837,1618026317592.0,3219.0259,2022-03-10 19:27:00.688
ETHO,BTC,8.8e-07,15.0,8.7e-07,6.1171,8.7e-07,1629105639401.0,28.7817,2022-03-10 19:30:14.434
ETN,ETH,1.98e-06,3528.63,1.97e-06,49457.36,1.98e-06,1612916258389.0,4940.5,2022-03-10 19:29:09.126
ETN,BTC,1.308e-07,15.34024465,1.302e-07,10000.0,1.308e-07,1612860387320.0,4604.44,2022-03-12 00:28:45.826
