baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
CTC,BTC,2.547e-05,0.3133,2.514e-05,434.5749,2.539e-05,1642058141254.0,57.4487,2022-04-19 21:11:46.636
CTC,USDT,1.047,170.7951,1.046,872.6453,1.046,1642058665751.0,120.1591,2022-04-19 21:11:46.436
CTI,ETH,8.23e-06,527.0,8.02e-06,4717.8629,8.04e-06,1612834100983.0,527.0,2022-04-19 21:11:46.605
CTI,USDT,0.02481,225.7265,0.0248,4717.86290697,0.0248,1612761612298.0,529.537,2022-04-19 21:11:46.706
CTSI,USDT,0.3063,417.183,0.3059,2105.4793,0.3063,1632480282186.0,1.4993,2022-04-27 19:46:44.256
CUDOS,USDT,0.02083,10505.0773,0.02077,16687.0676,0.02077,1612736082926.0,88.7215,2022-04-19 21:11:46.654
CVX,USDT,27.619,0.0251,27.52,0.0584,27.6065,1643738333456.0,0.0506,2022-04-27 19:42:10.143
CWAR,USDT,0.1574,3572.4786,0.1567,4836.3532,0.1571,1636808546843.0,479.23488224,2022-04-27 19:45:31.247
CWEB,USDT,0.02655,730.0,0.02645,730.0,0.02645,1640854182705.0,265.0217,2022-04-19 21:11:46.637
CWS,USDT,3.053,1.335,3.049,35.4898,3.053,1620401138248.0,25.3636,2022-04-19 22:15:06.832
CXO,ETH,4.38e-05,105.1127,4.23e-05,3228.1996,4.25e-05,1614961134420.0,213.8082,2022-04-27 19:45:31.256
CXO,BTC,5.7e-06,13734.9552,5.63e-06,79.5248,5.66e-06,1612741961155.0,26.2906,2022-04-19 21:11:46.456
DAG,BTC,4.4473e-06,459.0774,4.4153e-06,1443.1117,4.4495e-06,1613141494921.0,17.1522,2022-04-27 19:09:04.456
DAG,USDT,0.174371,5379.7715,0.173936,574.1351,0.174418,1613097210448.0,0.61937516,2022-04-27 19:43:17.399
DAG,ETH,6.037e-05,5908.6799,6.003e-05,315.4379,6.037e-05,1613059636139.0,38.3164,2022-04-27 19:45:31.256
DAO,USDT,2.84968,8.8541,2.84269,22.7,2.85281,1645557256004.0,6.82830262,2022-04-27 19:37:33.258
DAPPT,BTC,2.98e-08,68606.1384,2.97e-08,0.0001,2.97e-08,1612856597932.0,2776.9198,2022-04-27 19:41:03.824
DATA,USDT,0.0742,7449.3397,0.074,8246.9615,0.074,1636045533175.0,16.5564,2022-04-19 21:11:46.645
DATA,BTC,1.8e-06,1175.0862,1.78e-06,41582.2642,1.79e-06,1636026096873.0,0.0001,2022-04-19 21:11:46.545
DCR,ETH,0.0205952,7.7592,0.0205622,0.1397,0.0205622,1612927762452.0,0.002,2022-04-27 19:22:08.160
DCR,BTC,0.00153717,7.6166,0.00152262,7.6163,0.00153661,1612834406738.0,0.0044,2022-04-19 21:11:46.656
DERO,BTC,0.00031981,0.1195,0.0003177,7.0,0.0003198,1612875522181.0,3.0,2022-04-19 21:11:46.722
DERO,USDT,13.21733,12.9781,13.15249,0.2832,13.21816,1612992038960.0,0.26582142,2022-04-19 21:11:46.636
DEXE,BTC,0.0001632,16.2358,0.0001564,461.4605,0.0001571,1632825709424.0,0.213,2022-04-27 19:42:10.156
DEXE,ETH,0.00221,12.6913,0.002121,8.1658,0.002132,1632794048663.0,0.1675,2022-04-27 19:45:31.255
DEXE,USDT,5.87,1.31,5.845,0.3564,5.878,1632749921886.0,1.3627084,2022-04-19 21:11:46.656
DFI,BTC,0.00010974,1.8341,0.00010937,44.99,0.0001095,1612808592262.0,0.0126,2022-04-27 19:44:25.036
