a,b,c,ba_bstb,ba_bsta,ba_bstbsize,ba_bstasize,bc_bstb,bc_bsta,bc_bstbsize,bc_bstasize,ca_bstb,ca_bsta,ca_bstbsize,ca_bstasize,fwd_arb,rev_arb
USDT,OOKI,BTC,0.01354,0.01359,15597.5847,47448.7027,3.262e-07,3.331e-07,331101.914,6192.1496,39213.5,39213.6,1.96663283,1.55726575,3.5555166362454704,
USDT,PHNX,BTC,0.013,0.01316,11300.9481,16.7137,4.109e-07,4.299e-07,1039.0,3928.4833,39213.5,39213.6,1.96663283,1.55726575,,22.560334172872352
USDT,POLS,BTC,1.4625,1.4655,68.2156,45.0,3.554e-05,3.565e-05,67.8356,32.6242,39213.5,39213.6,1.96663283,1.55726575,4.511853176433345,
USDT,PYR,BTC,13.2004,13.2122,23.0,23.0,0.0002523,0.0002529,0.3355,19.4162,39213.5,39213.6,1.96663283,1.55726575,32.97422570129687,
USDT,QI,BTC,0.05255,0.05267,1900.0,1900.0,1.27e-06,1.273e-06,37347.9111,508.7927,39213.5,39213.6,1.96663283,1.55726575,5.165556605436539,
USDT,REP,ETH,14.022,14.088,28.8,0.096,0.004558,0.004607,6.5931,8.0963,2886.24,2886.25,9.4623838,21.0908848,5.347377086214267,
USDT,REQ,ETH,0.2245,0.2248,241.5977,740.0,7.07e-05,7.1e-05,622.9856,4771.2475,2886.24,2886.25,9.4623838,21.0908848,9.443499972904213,
USDT,RLC,BTC,2.0652,2.0708,103.2991,226.3998,4.964e-05,4.991e-05,234.2447,233.6094,39213.5,39213.6,1.96663283,1.55726575,5.415325606823007,
USDT,RUNE,BTC,7.6342,7.637,167.0,0.2645,0.000224,0.00022438,19.7057,20.0,39213.5,39213.6,1.96663283,1.55726575,,15.131698625114588
USDT,SFP,BTC,0.8161,0.8177,449.752,2192.5318,1.973e-05,1.981e-05,90.1214,1.1918,39213.5,39213.6,1.96663283,1.55726575,4.951369580253129,
USDT,SHA,BTC,0.003229,0.003247,23008.0429,2647.87072085,7.26e-08,7.37e-08,51696.0,8000.0,39213.5,39213.6,1.96663283,1.55726575,11.616850848544868,
USDT,SHIB,DOGE,2.343e-05,2.344e-05,2564316316.7273,1090496.1051,0.00017657,0.00017714,3907496.0127,214967.4766,0.13962,0.13963,2999.0,86948.0,,5.278822966723529
USDT,SKL,BTC,0.2028,0.203,5072.2379,695.1306,4.83e-06,4.86e-06,3550.4371,2422.3532,39213.5,39213.6,1.96663283,1.55726575,6.306761820835183,
USDT,SNX,BTC,6.047138,6.053502,64.0,251.52394919,0.00014655,0.00014699,8.32e-06,64.0,39213.5,39213.6,1.96663283,1.55726575,4.807243225420588,
USDT,SNX,ETH,6.047138,6.053502,64.0,251.52394919,0.0019678,0.0019697,9.82e-06,3.50978806,2886.24,2886.25,9.4623838,21.0908848,6.262926262225754,
USDT,STORJ,BTC,1.34,1.3427,193.366,177.814,3.243e-05,3.263e-05,1.8211,1.8172,39213.5,39213.6,1.96663283,1.55726575,4.620534049813063,
USDT,STORJ,ETH,1.34,1.3427,193.366,177.814,0.0004339,0.000439,1368.4029,454.1997,2886.24,2886.25,9.4623838,21.0908848,5.650669799474484,
USDT,TIME,BTC,64.369,64.464,3.0,0.2074,0.00155712,0.00156202,6.0,1e-06,39213.5,39213.6,1.96663283,1.55726575,4.9830969296532635,
USDT,TIME,ETH,64.369,64.464,3.0,0.2074,0.0209346,0.0209594,3.0,18.684,2886.24,2886.25,9.4623838,21.0908848,6.2991747206476045,
USDT,TLM,BTC,0.0999,0.1,304.1708,2101.9915,2.244e-06,2.258e-06,34306.5341,1.5,39213.5,39213.6,1.96663283,1.55726575,12.712156379947736,
USDT,TLOS,BTC,0.64723,0.64912,10.1541,445.0,1.705e-05,1.713e-05,6.6847,0.553,39213.5,39213.6,1.96663283,1.55726575,,3.1024718349457636
USDT,TRIAS,BTC,5.61681,5.62986,0.3131,22.8,0.00013877,0.00013913,121.7689,42.2073,39213.5,39213.6,1.96663283,1.55726575,2.848545955474169,
USDT,TRX,KCS,0.063104,0.063105,15661.6627,86349.2646,0.003319,0.003328,10555.728,8.7173,20.856,20.857,25.2437,70.6339,,9.801576838602323
USDT,TRX,BTC,0.063104,0.063105,15661.6627,86349.2646,1.521e-06,1.524e-06,11239.0347,54613.2723,39213.5,39213.6,1.96663283,1.55726575,5.487531591828687,
USDT,UOS,BTC,1.05009,1.05059,1.0701,33.8,2.171e-05,2.174e-05,21.3604,0.1141,39213.5,39213.6,1.96663283,1.55726575,23.05412907186748,
USDT,VET,BTC,0.0519019,0.0519092,8500.0,8500.0,1.468e-06,1.471e-06,11551.3531,6941.1417,39213.5,39213.6,1.96663283,1.55726575,,11.007265413452716
USDT,VRA,BTC,0.01706562,0.01706997,1738.0447,18000.0,5.064e-07,5.081e-07,21559.8226,20472.4441,39213.5,39213.6,1.96663283,1.55726575,,16.44762185522295
USDT,WAVES,BTC,16.0315,16.0377,15.3556,17.8622,0.00040962,0.00041077,29.9105,367.8059,39213.5,39213.6,1.96663283,1.55726575,,0.2556258308236137
USDT,WAX,BTC,0.2732,0.2733,3943.5621,784.0,6.61e-06,6.62e-06,2911.9552,612.2938,39213.5,39213.6,1.96663283,1.55726575,5.136112268972726,
USDT,XCUR,BTC,1.032,1.038,550.0,69.8557,2.486e-05,2.502e-05,5.3743,18.1741,39213.5,39213.6,1.96663283,1.55726575,5.080371609543777,
USDT,XEM,BTC,0.100743,0.101018,8927.7097,2330.5723,2.34e-06,2.36e-06,31814.125,44971.6338,39213.5,39213.6,1.96663283,1.55726575,8.750705871455743,
USDT,XLM,KCS,0.184179,0.18418,2150.0,2896.004,0.00964,0.00965,160.4329,44.4887,20.856,20.857,25.2437,70.6339,,9.269677402540989
USDT,XMR,BTC,227.7,227.74,0.1052,3.2123,0.005816,0.005821,1.0362,1.0575,39213.5,39213.6,1.96663283,1.55726575,,0.24316400983575015
USDT,XMR,ETH,227.7,227.74,0.1052,3.2123,0.08309,0.08321,0.0472,0.9372,2886.24,2886.25,9.4623838,21.0908848,,5.408579644155576
USDT,XTZ,BTC,2.81166,2.813,0.169,130.0,7.738e-05,7.746e-05,0.4295,206.514,39213.5,39213.6,1.96663283,1.55726575,,7.97635871418414
USDT,ZEC,BTC,148.841,148.961,4.7,3.3667,0.0037762,0.0037822,4.7685,22.3623,39213.5,39213.6,1.96663283,1.55726575,0.25528985432614615,
UST,AAVE,BTC,180.883,181.237,3.8671,1.4068,0.004297,0.004304,2.8712,0.0453,41125.4,41165.8,0.1328,0.017,1.9893566899191972,
UST,ETH,BTC,2880.01,2881.9,0.0235195,0.0790805,0.073639,0.07364,2.8289726,3.0,41125.4,41165.8,0.1328,0.017,,5.18969304731598
UST,LUNA,BTC,93.3493,93.4236,31.4018,5.0231,0.00227454,0.00227489,5.5,16.3319,41125.4,41165.8,0.1328,0.017,,0.22618340902724743
UST,LUNA,ETH,93.3493,93.4236,31.4018,5.0231,0.030463,0.030486,6.0,6.0,2880.01,2881.9,0.0235195,0.0790805,6.14453427720516,
UST,SNX,ETH,6.015901,6.048067,86.69,91.6234,0.0019678,0.0019697,9.82e-06,3.50978806,2880.01,2881.9,0.0235195,0.0790805,5.873583120285186,
BTC,AAVE,KCS,0.004297,0.004304,2.8712,0.0453,8.6082,8.6518,2.8,0.0153,0.0005051,0.0005053,0.0593,0.347,,1.1233694660780724
BTC,ADA,KCS,2.287e-05,2.288e-05,6.2449,3614.1594,0.0441,0.0442,351.8093,817.7445,0.0005051,0.0005053,0.0593,0.347,2.296439851389076,
BTC,ATOM,ETH,0.00054981,0.00055007,0.0186,6.83,0.007474,0.007481,0.0133,0.2418,0.073639,0.07364,2.8289726,3.0,,0.15602812114818843
